regime,bin,feature,pooled_ic,mean_ts_ic,rows
dispersion_12h,mid,cum_funding_24h,-0.024859026745551894,-0.053306820086454314,28512
dispersion_12h,mid,residual_12h,-0.01743975594166821,-0.05684673756840383,28512
dispersion_12h,mid,mom_z_24h,-0.015407410440012467,-0.05889876429218502,28512
dispersion_12h,mid,residual_24h,-0.016683480584736073,-0.059029471681125226,28512
dispersion_12h,mid,rel_volume_cs,-0.028283926110454174,-0.0623246606877848,28512
dispersion_12h,mid,ret_48h,-0.027399646038598745,-0.08035719557921274,28512
dispersion_12h,mid,gk_vol_24h,-0.02947773700179752,-0.08080001214054416,28512
dispersion_12h,mid,rvol_24h,-0.03283572320922815,-0.0872885588505268,28512
dispersion_12h,mid,atr_14,-0.03225405209389334,-0.08880477523445299,28512
dispersion_12h,mid,rvol_12h,-0.03427176294011702,-0.09423471346498083,28512
dispersion_12h,mid,pct_coins_up_12h,,,28512
dispersion_12h,mid,pct_coins_up_1h,,,28512
dispersion_12h,mid,hour_sin,,,28512
dispersion_12h,mid,hour_cos,,,28512
dispersion_12h,mid,dow_sin,,,28512
dispersion_12h,mid,dow_cos,,,28512
market_funding_24h,high,iv_rv_spread,0.014017181176875079,0.05390957502531751,28512
market_funding_24h,high,oi_chg_24h,0.016701149204894038,0.025997037083249085,28512
market_funding_24h,high,residual_24h,0.019922280568412092,0.024283266224234917,28512
market_funding_24h,high,ret_24h,0.0184951834944031,0.0200584760839422,28512
market_funding_24h,high,mom_z_24h,0.019117261351200187,0.016806842682988574,28512
market_funding_24h,high,dist_from_high_24h,-0.0007346783773269034,0.013608375231309693,28512
market_funding_24h,high,oi_chg_12h,0.005352470025346368,0.012035819734537828,28512
market_funding_24h,high,ls_divergence,0.0021227197152041315,0.0035043218177128344,28512
market_funding_24h,high,oi_zscore,0.008952031512733038,0.0019585370900130216,28512
market_funding_24h,high,ret_12h,0.0037937934107325918,-0.006007219657862815,28512
market_funding_24h,high,ret_168h,0.004933248442879291,-0.011307251702587846,28512
market_funding_24h,high,ret_skew_168h,-0.005203885472513302,-0.013036090831431021,28512
market_funding_24h,high,residual_12h,0.0021423246269431607,-0.013541005527603301,28512
market_funding_24h,high,ret_48h,0.0018937182927810203,-0.014864898158480909,28512
market_funding_24h,high,rel_volume_cs,-0.016133706110515397,-0.031753079087845804,28512
market_funding_24h,high,gk_vol_24h,-0.01317487526201878,-0.047482543719063276,28512
market_funding_24h,high,taker_cvd_24h,-0.017320050972485415,-0.05215229765974718,28512
market_funding_24h,high,rvol_24h,-0.014017181176875079,-0.05390957502531751,28512
market_funding_24h,high,cum_funding_24h,-0.02717863131741453,-0.05419787311496832,28512
market_funding_24h,high,taker_cvd_12h,-0.019662565833755884,-0.05777386285013331,28512
market_funding_24h,high,rvol_12h,-0.017635436621482002,-0.061826816318459286,28512
market_funding_24h,high,atr_14,-0.01941554900280866,-0.06302790686380727,28512
market_funding_24h,high,pct_coins_up_12h,,,28512
market_funding_24h,high,pct_coins_up_1h,,,28512
market_funding_24h,high,hour_sin,,,28512
market_funding_24h,high,hour_cos,,,28512
market_funding_24h,high,dow_sin,,,28512
market_funding_24h,high,dow_cos,,,28512
market_funding_24h,low,dist_from_high_24h,0.037049408387105597,0.08534329648207764,28545
market_funding_24h,low,iv_rv_spread,0.0051814293331790525,0.026803585541182947,28545
market_funding_24h,low,taker_cvd_24h,-0.0018721752843757755,0.0007414402486310525,28545
market_funding_24h,low,taker_cvd_12h,-0.0024244937656242318,-0.0011153327913060267,28545
market_funding_24h,low,cum_funding_24h,0.0004491264771707415,-0.004415207299111966,28545
market_funding_24h,low,atr_14,0.002244564546920542,-0.01449956299616416,28545
market_funding_24h,low,gk_vol_24h,0.0005520633150634246,-0.01545531697565159,28545
market_funding_24h,low,ls_divergence,0.001514478057674691,-0.01635949610897269,28545
market_funding_24h,low,rel_volume_cs,-0.005128626006337893,-0.018690051440004577,28545
market_funding_24h,low,ret_skew_168h,-0.00899290646799456,-0.024692637039670444,28545
market_funding_24h,low,rvol_24h,-0.0051814293331790525,-0.026803585541182947,28545
market_funding_24h,low,rvol_12h,-0.005178110163591077,-0.03154674702795698,28545
market_funding_24h,low,oi_chg_24h,-0.018081664338618485,-0.03606142399543537,28545
market_funding_24h,low,oi_chg_12h,-0.017435517031850367,-0.039015030487686,28545
market_funding_24h,low,oi_zscore,-0.017651423119946028,-0.044321774291526575,28545
market_funding_24h,low,ret_168h,-0.03070788899018898,-0.07928723016407167,28545
market_funding_24h,low,mom_z_24h,-0.0351229172117106,-0.08600185540050043,28545
market_funding_24h,low,ret_24h,-0.03562422910458159,-0.08952031585853602,28545
market_funding_24h,low,residual_24h,-0.03888481601365542,-0.09085689358930482,28545
market_funding_24h,low,ret_48h,-0.04066830098892862,-0.1027855997947679,28545
market_funding_24h,low,residual_12h,-0.04361468938011784,-0.1069149550234801,28545
market_funding_24h,low,ret_12h,-0.042516052755697226,-0.11518518508101389,28545
market_funding_24h,low,pct_coins_up_12h,,,28545
market_funding_24h,low,pct_coins_up_1h,,,28545
market_funding_24h,low,hour_sin,,,28545
market_funding_24h,low,hour_cos,,,28545
market_funding_24h,low,dow_sin,,,28545
market_funding_24h,low,dow_cos,,,28545
market_funding_24h,mid,iv_rv_spread,0.020292236664899613,0.06544444349703206,28512
market_funding_24h,mid,dist_from_high_24h,0.010203799646184158,0.03712380997678775,28512
market_funding_24h,mid,ls_divergence,0.004360949288135099,0.01332295420167952,28512
market_funding_24h,mid,taker_cvd_12h,0.0033446423311762675,-0.0009021192123199698,28512
market_funding_24h,mid,taker_cvd_24h,0.00016265347119820227,-0.005971562347699006,28512
market_funding_24h,mid,oi_chg_24h,-0.001479984541268227,-0.012205572592817075,28512
market_funding_24h,mid,cum_funding_24h,-0.0042659041962692604,-0.01485131456997816,28512
market_funding_24h,mid,oi_zscore,-0.005619167795243348,-0.01744740965460176,28512
market_funding_24h,mid,oi_chg_12h,-0.009408703323824381,-0.02118309421771087,28512
market_funding_24h,mid,rel_volume_cs,-0.009834939005965337,-0.025783337805501443,28512
market_funding_24h,mid,ret_12h,-0.011602674987870472,-0.04064391120242404,28512
market_funding_24h,mid,ret_skew_168h,-0.01441971224445193,-0.0442600373898094,28512
market_funding_24h,mid,ret_24h,-0.012585178980204052,-0.046301486145162,28512
market_funding_24h,mid,residual_12h,-0.01564278641201591,-0.05321735426392569,28512
market_funding_24h,mid,ret_168h,-0.014547312520038448,-0.05364287013803414,28512
market_funding_24h,mid,gk_vol_24h,-0.01697760585392247,-0.05872995438544616,28512
market_funding_24h,mid,mom_z_24h,-0.01643009146153022,-0.0593711561460598,28512
market_funding_24h,mid,residual_24h,-0.017244303244730214,-0.05943980761563433,28512
market_funding_24h,mid,atr_14,-0.017489914210819003,-0.0608690695875473,28512
market_funding_24h,mid,rvol_24h,-0.020292236664899613,-0.06544444349703206,28512
market_funding_24h,mid,rvol_12h,-0.022067387071610208,-0.07653207734974216,28512
market_funding_24h,mid,ret_48h,-0.04096398659662195,-0.10391156786770915,28512
market_funding_24h,mid,pct_coins_up_12h,,,28512
market_funding_24h,mid,pct_coins_up_1h,,,28512
market_funding_24h,mid,hour_sin,,,28512
market_funding_24h,mid,hour_cos,,,28512
market_funding_24h,mid,dow_sin,,,28512
market_funding_24h,mid,dow_cos,,,28512
